NOC,Event,medalcount
ROU,Swimming Women's 100 metres Backstroke,1
ROU,Swimming Women's 200 metres Backstroke,1
ROU,Swimming Women's 200 metres Individual Medley,1
ROU,Swimming Women's 400 metres Individual Medley,1
RSA,Athletics Men's 400 metres Hurdles,1
RSA,Athletics Men's Discus Throw,1
RSA,Athletics Women's High Jump,2
RSA,Swimming Men's 200 metres Breaststroke,1
RSA,Swimming Women's 100 metres Breaststroke,1
RUS,Athletics Men's 20 kilometres Walk,2
RUS,Athletics Men's High Jump,4
RUS,Athletics Men's Javelin Throw,2
RUS,Athletics Men's Pole Vault,2
RUS,Athletics Men's Triple Jump,2
RUS,Athletics Women's 4 x 400 metres Relay,4
RUS,Athletics Women's 400 metres Hurdles,2
RUS,Athletics Women's Hammer Throw,3
RUS,Athletics Women's Heptathlon,3
RUS,Athletics Women's High Jump,5
RUS,Athletics Women's Long Jump,6
RUS,Athletics Women's Shot Put,2
RUS,Athletics Women's Triple Jump,3
RUS,Boxing Men's Bantamweight,2
RUS,Boxing Men's Featherweight,2
RUS,Boxing Men's Heavyweight,3
RUS,Boxing Men's Light-Heavyweight,2
RUS,Boxing Men's Lightweight,3
RUS,Boxing Men's Middleweight,2
RUS,Boxing Men's Welterweight,3
RUS,"Canoeing Men's Canadian Singles, 500 metres",3
RUS,Cycling Men's Individual Time Trial,2
RUS,Cycling Men's Points Race,2
RUS,Cycling Women's Points Race,2
RUS,Cycling Women's Sprint,2
RUS,Diving Men's Platform,2
RUS,Diving Men's Springboard,3
RUS,Diving Men's Synchronized Platform,2
RUS,Diving Men's Synchronized Springboard,3
RUS,Diving Women's Synchronized Springboard,3
RUS,"Fencing Men's epee, Individual",2
RUS,"Fencing Men's Foil, Individual",2
RUS,"Fencing Men's Sabre, Team",2
RUS,"Fencing Women's epee, Team",3
RUS,Gymnastics Men's Floor Exercise,3
RUS,Gymnastics Men's Horizontal Bar,1
RUS,Gymnastics Men's Horse Vault,4
RUS,Gymnastics Men's Individual All-Around,1
RUS,Gymnastics Men's Parallel Bars,2
RUS,Gymnastics Men's Pommelled Horse,1
RUS,Gymnastics Men's Team All-Around,2
RUS,Gymnastics Women's Balance Beam,2
RUS,Gymnastics Women's Floor Exercise,3
RUS,Gymnastics Women's Horse Vault,5
RUS,Gymnastics Women's Team All-Around,4
RUS,Gymnastics Women's Uneven Bars,3
RUS,Handball Men's Handball,2
RUS,Judo Men's Half-Heavyweight,2
RUS,Judo Men's Heavyweight,3
RUS,Judo Women's Extra-Lightweight,1
RUS,Modern Pentathlon Men's Individual,4
RUS,Rhythmic Gymnastics Women's Group,5
RUS,Rhythmic Gymnastics Women's Individual,9
RUS,Rowing Women's Quadruple Sculls,1
RUS,"Shooting Men's Air Rifle, 10 metres",3
RUS,"Shooting Men's Rapid-Fire Pistol, 25 metres",3
RUS,Shooting Women's Skeet,1
RUS,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",3
RUS,Swimming Men's 100 metres Breaststroke,1
RUS,Swimming Men's 100 metres Freestyle,1
RUS,Synchronized Swimming Women's Duet,5
RUS,Synchronized Swimming Women's Team,5
RUS,Taekwondo Women's Heavyweight,2
RUS,Tennis Men's Singles,1
RUS,Tennis Women's Singles,5
RUS,Trampolining Men's Individual,3
RUS,Trampolining Women's Individual,1
RUS,Volleyball Men's Volleyball,4
RUS,Volleyball Women's Volleyball,2
RUS,Water Polo Men's Water Polo,2
RUS,Water Polo Women's Water Polo,2
RUS,Weightlifting Men's Middle-Heavyweight,5
RUS,Weightlifting Men's Super-Heavyweight,3
RUS,Weightlifting Women's Middleweight,2
RUS,"Wrestling Men's Heavyweight, Freestyle",3
RUS,"Wrestling Men's Light-Heavyweight, Freestyle",4
RUS,"Wrestling Men's Lightweight, Freestyle",3
RUS,"Wrestling Men's Lightweight, Greco-Roman",3
RUS,"Wrestling Men's Middleweight, Greco-Roman",4
RUS,"Wrestling Men's Super-Heavyweight, Freestyle",3
RUS,"Wrestling Men's Super-Heavyweight, Greco-Roman",4
RUS,"Wrestling Men's Welterweight, Freestyle",3
RUS,"Wrestling Men's Welterweight, Greco-Roman",1
SCG,"Shooting Women's Air Pistol, 10 metres",2
SCG,Volleyball Men's Volleyball,1
SCG,Water Polo Men's Water Polo,2
SLO,Rowing Men's Double Sculls,3
SLO,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",2
SRI,Athletics Women's 200 metres,1
SUI,"Cycling Men's Mountainbike, Cross-Country",4
SUI,"Cycling Women's Mountainbike, Cross-Country",1
SUI,"Equestrianism Mixed Jumping, Team",2
SUI,"Fencing Women's epee, Individual",1
SUI,"Fencing Women's epee, Team",1
SUI,Rowing Men's Single Sculls,1
SUI,"Shooting Men's Rapid-Fire Pistol, 25 metres",1
SUI,Triathlon Women's Olympic Distance,4
SVK,"Canoeing Men's Canadian Doubles, Slalom",5
SVK,"Canoeing Men's Canadian Singles, Slalom",6
SVK,Swimming Women's 100 metres Butterfly,1
SVK,Swimming Women's 200 metres Freestyle,1
SWE,Athletics Women's High Jump,1
SWE,"Canoeing Men's Kayak Doubles, 1,000 metres",2
SWE,Handball Men's Handball,2
SWE,Sailing Men's One Person Dinghy,2
SWE,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",1
SWE,Shooting Women's Double Trap,1
SWE,Swimming Men's 100 metres Butterfly,1
SWE,Swimming Women's 100 metres Freestyle,2
SWE,Swimming Women's 4 x 100 metres Freestyle Relay,1
SWE,Swimming Women's 50 metres Freestyle,1
SWE,Table Tennis Men's Singles,1
SWE,"Wrestling Men's Heavyweight, Greco-Roman",2
THA,Boxing Men's Flyweight,2
THA,Boxing Men's Light-Middleweight,1
THA,Weightlifting Women's Lightweight,5
TPE,Table Tennis Women's Singles,1
TPE,Taekwondo Men's Flyweight,3
TPE,Taekwondo Women's Flyweight,2
TPE,Weightlifting Women's Featherweight,3
TPE,Weightlifting Women's Heavyweight,1
TTO,Athletics Men's 100 metres,2
TTO,Athletics Men's 200 metres,1
TUR,Judo Men's Half-Lightweight,1
TUR,Taekwondo Women's Featherweight,2
TUR,Weightlifting Men's Bantamweight,3
TUR,"Wrestling Men's Light-Heavyweight, Greco-Roman",2
TUR,"Wrestling Men's Middleweight, Freestyle",2
UKR,Archery Women's Team,1
UKR,Athletics Men's Long Jump,1
UKR,Athletics Women's Triple Jump,2
UKR,Boxing Men's Bantamweight,1
UKR,Boxing Men's Flyweight,1
UKR,Boxing Men's Light-Heavyweight,2
UKR,Boxing Men's Lightweight,2
UKR,Boxing Men's Welterweight,2
UKR,"Cycling Men's Team Pursuit, 4,000 metres",1
UKR,Cycling Women's Sprint,1
UKR,Diving Women's Synchronized Springboard,1
UKR,Gymnastics Men's Individual All-Around,2
UKR,Gymnastics Men's Team All-Around,1
UKR,Judo Men's Middleweight,1
UKR,Sailing Women's Two Person Dinghy,1
UKR,Shooting Men's Skeet,1
UKR,Swimming Men's 200 metres Butterfly,1
UKR,Swimming Women's 200 metres Individual Medley,2
UKR,Swimming Women's 400 metres Individual Medley,2
UKR,Swimming Women's 800 metres Freestyle,1
UKR,Trampolining Women's Individual,1
UKR,"Wrestling Men's Featherweight, Freestyle",1
UKR,"Wrestling Men's Heavyweight, Greco-Roman",1
URU,Cycling Men's Points Race,1
USA,Archery Men's Individual,2
USA,Archery Men's Team,3
USA,Athletics Men's 100 metres,6
USA,Athletics Men's 110 metres Hurdles,7
USA,Athletics Men's 4 x 100 metres Relay,2
USA,Athletics Men's 400 metres,9
USA,Athletics Men's 400 metres Hurdles,6
USA,Athletics Men's Decathlon,6
USA,Athletics Men's Pole Vault,5
USA,Athletics Men's Shot Put,7
USA,Athletics Women's 100 metres Hurdles,9
USA,Athletics Women's 4 x 100 metres Relay,3
USA,Athletics Women's 4 x 400 metres Relay,5
USA,Athletics Women's Pole Vault,4
USA,Baseball Men's Baseball,2
USA,Basketball Men's Basketball,5
USA,Basketball Women's Basketball,5
USA,Beach Volleyball Men's Beach Volleyball,2
USA,Boxing Men's Bantamweight,2
USA,Boxing Men's Featherweight,1
USA,Boxing Men's Light-Middleweight,1
USA,Boxing Men's Light-Welterweight,1
USA,Cycling Men's Sprint,1
USA,Cycling Women's Individual Time Trial,5
USA,Diving Women's Platform,1
USA,"Equestrianism Mixed Dressage, Team",3
USA,"Equestrianism Mixed Three-Day Event, Individual",4
USA,"Equestrianism Mixed Three-Day Event, Team",2
USA,Football Women's Football,4
USA,Gymnastics Women's Team All-Around,5
USA,Modern Pentathlon Women's Individual,1
USA,Rowing Men's Coxless Pairs,1
USA,Rowing Women's Coxless Pairs,1
USA,Rowing Women's Lightweight Double Sculls,1
USA,Sailing Men's Two Person Dinghy,2
USA,Sailing Mixed Skiff,1
USA,Sailing Mixed Two Person Keelboat,1
USA,Sailing Women's Two Person Dinghy,1
USA,Shooting Men's Skeet,3
USA,"Shooting Women's Air Rifle, 10 metres",2
USA,Shooting Women's Double Trap,2
USA,Softball Women's Softball,3
USA,"Swimming Men's 1,500 metres Freestyle",3
USA,Swimming Men's 100 metres Backstroke,8
USA,Swimming Men's 100 metres Breaststroke,4
USA,Swimming Men's 100 metres Freestyle,4
USA,Swimming Men's 200 metres Backstroke,8
USA,Swimming Men's 200 metres Butterfly,5
USA,Swimming Men's 200 metres Individual Medley,9
USA,Swimming Men's 4 x 100 metres Freestyle Relay,5
USA,Swimming Men's 4 x 100 metres Medley Relay,5
USA,Swimming Men's 4 x 200 metres Freestyle Relay,5
USA,Swimming Men's 400 metres Freestyle,4
USA,Swimming Men's 400 metres Individual Medley,8
USA,Swimming Men's 50 metres Freestyle,5
USA,Swimming Women's 100 metres Breaststroke,5
USA,Swimming Women's 100 metres Butterfly,4
USA,Swimming Women's 100 metres Freestyle,4
USA,Swimming Women's 200 metres Breaststroke,5
USA,Swimming Women's 200 metres Butterfly,1
USA,Swimming Women's 200 metres Individual Medley,5
USA,Swimming Women's 4 x 100 metres Freestyle Relay,5
USA,Swimming Women's 4 x 100 metres Medley Relay,5
USA,Swimming Women's 4 x 200 metres Freestyle Relay,5
USA,Swimming Women's 400 metres Freestyle,7
USA,Swimming Women's 50 metres Freestyle,3
USA,Swimming Women's 800 metres Freestyle,5
USA,Taekwondo Men's Featherweight,3
USA,Tennis Women's Doubles,3
USA,Tennis Women's Singles,3
USA,Water Polo Women's Water Polo,5
USA,Weightlifting Women's Flyweight,1
USA,Weightlifting Women's Super-Heavyweight,2
USA,"Wrestling Men's Bantamweight, Freestyle",1
USA,"Wrestling Men's Featherweight, Freestyle",3
USA,"Wrestling Men's Heavyweight, Greco-Roman",2
USA,"Wrestling Men's Middleweight, Freestyle",2
USA,"Wrestling Men's Middleweight, Greco-Roman",1
USA,"Wrestling Men's Super-Heavyweight, Greco-Roman",2
USA,"Wrestling Men's Welterweight, Freestyle",2
UZB,Boxing Men's Light-Heavyweight,2
UZB,Boxing Men's Light-Welterweight,2
UZB,Boxing Men's Super-Heavyweight,1
UZB,"Wrestling Men's Super-Heavyweight, Freestyle",4
VIE,Taekwondo Women's Featherweight,1
MAR,Athletics Women's 800 metres,2
ARG,Basketball Men's Basketball,2
ARG,Football Men's Football,2
ARG,Sailing Mixed Multihull,3
ARG,Swimming Women's 400 metres Individual Medley,1
ARG,Tennis Women's Doubles,1
AUS,Athletics Men's 20 kilometres Walk,3
AUS,Athletics Men's 4 x 400 metres Relay,1
AUS,Athletics Women's 20 kilometres Walk,1
AUS,Baseball Men's Baseball,1
AUS,"Canoeing Men's Kayak Singles, 500 metres",2
AUS,Cycling Men's Individual Time Trial,1
AUS,Cycling Men's Sprint,2
AUS,"Cycling Men's Team Pursuit, 4,000 metres",3
AUS,"Cycling Women's Individual Pursuit, 3,000 metres",1
AUS,"Cycling Women's Road Race, Individual",1
AUS,Cycling Women's Sprint,3
AUS,Diving Men's Platform,2
AUS,Diving Men's Synchronized Platform,1
AUS,Diving Women's Platform,3
AUS,Diving Women's Synchronized Springboard,2
AUS,Rowing Women's Quadruple Sculls,1
AUS,Shooting Women's Trap,2
AUS,Swimming Men's 100 metres Freestyle,4
AUS,Swimming Women's 100 metres Butterfly,4
AUS,Swimming Women's 100 metres Freestyle,2
AUS,Swimming Women's 200 metres Breaststroke,2
AUS,Swimming Women's 4 x 100 metres Freestyle Relay,4
AUS,Swimming Women's 50 metres Freestyle,2
AUS,Tennis Women's Singles,1
AUT,Judo Women's Half-Middleweight,1
AUT,Sailing Mixed One Person Dinghy,1
AUT,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",1
AUT,Swimming Men's 100 metres Backstroke,1
AUT,Swimming Men's 200 metres Backstroke,1
AUT,Triathlon Women's Olympic Distance,1
AZE,Boxing Men's Bantamweight,1
AZE,Boxing Men's Flyweight,1
AZE,"Shooting Women's Sporting Pistol, 25 metres",1
AZE,"Wrestling Men's Welterweight, Greco-Roman",2
BAH,Athletics Women's 400 metres,2
BEL,"Cycling Men's Road Race, Individual",2
BEL,Judo Women's Half-Lightweight,1
BEL,Tennis Women's Singles,1
BLR,Athletics Women's 100 metres,1
BLR,Boxing Men's Heavyweight,1
BLR,Boxing Men's Light-Heavyweight,1
BLR,"Canoeing Men's Kayak Doubles, 500 metres",2
BLR,Cycling Women's 500 metres Time Trial,1
BLR,Judo Men's Half-Heavyweight,1
BLR,Rowing Women's Coxless Pairs,2
BLR,Weightlifting Men's Light-Heavyweight,2
BLR,Weightlifting Women's Middleweight,2
BLR,"Wrestling Men's Light-Heavyweight, Greco-Roman",2
BRA,Athletics Men's Marathon,1
BRA,"Equestrianism Mixed Jumping, Individual",1
BRA,Football Women's Football,2
BRA,Judo Men's Half-Middleweight,2
BRA,Sailing Men's Two Person Keelboat,3
BRA,Volleyball Men's Volleyball,4
BUL,Boxing Men's Light-Welterweight,1
BUL,Judo Men's Half-Lightweight,1
BUL,Rhythmic Gymnastics Women's Group,2
BUL,Rowing Men's Single Sculls,1
BUL,"Shooting Women's Air Pistol, 10 metres",1
BUL,Weightlifting Men's Middle-Heavyweight,1
BUL,Weightlifting Men's Super-Heavyweight,1
BUL,"Wrestling Men's Lightweight, Greco-Roman",1
CAN,"Canoeing Men's Kayak Singles, 1,000 metres",2
CAN,"Canoeing Men's Kayak Singles, 500 metres",2
CAN,"Cycling Women's Mountainbike, Cross-Country",2
CAN,Cycling Women's Sprint,1
CAN,Diving Men's Springboard,2
CAN,Gymnastics Men's Floor Exercise,1
CAN,Rowing Men's Coxless Fours,1
CAN,Sailing Men's Two Person Keelboat,1
CAN,"Wrestling Women's Lightweight, Freestyle",3
CHI,Tennis Men's Doubles,1
CHI,Tennis Men's Singles,3
CHN,Archery Women's Team,3
CHN,Athletics Men's 110 metres Hurdles,1
CHN,"Athletics Women's 10,000 metres",1
CHN,Boxing Men's Light-Flyweight,3
CHN,"Canoeing Men's Canadian Doubles, 500 metres",2
CHN,"Fencing Men's epee, Individual",1
CHN,"Fencing Women's Sabre, Individual",1
CHN,Gymnastics Men's Pommelled Horse,2
CHN,Judo Women's Extra-Lightweight,1
CHN,Judo Women's Middleweight,1
CHN,Sailing Women's Windsurfer,3
CHN,Shooting Men's Double Trap,2
CHN,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",2
CHN,Shooting Women's Double Trap,1
CHN,Shooting Women's Skeet,2
CHN,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",4
CHN,Swimming Women's 100 metres Breaststroke,1
CHN,Swimming Women's 4 x 200 metres Freestyle Relay,2
CHN,Taekwondo Women's Welterweight,1
CHN,Tennis Women's Doubles,2
CHN,Trampolining Women's Individual,5
CHN,Volleyball Women's Volleyball,3
CHN,Weightlifting Men's Featherweight,3
CHN,Weightlifting Men's Lightweight,4
CHN,Weightlifting Women's Flyweight,3
CHN,Weightlifting Women's Lightweight,3
CHN,"Wrestling Women's Heavyweight, Freestyle",3
CMR,Athletics Women's Triple Jump,2
COL,Cycling Women's Points Race,1
COL,Weightlifting Women's Featherweight,1
CRO,Handball Men's Handball,2
CRO,Rowing Men's Coxless Pairs,1
CRO,Swimming Men's 50 metres Freestyle,1
CRO,Tennis Men's Doubles,1
CRO,Weightlifting Men's Lightweight,1
CUB,Athletics Women's Hammer Throw,3
CUB,Athletics Women's Shot Put,1
CUB,Boxing Men's Flyweight,3
CUB,Boxing Men's Super-Heavyweight,1
CUB,Boxing Men's Welterweight,2
CUB,"Canoeing Men's Canadian Doubles, 500 metres",1
CUB,Judo Men's Half-Lightweight,2
CUB,Judo Women's Half-Heavyweight,2
CUB,Judo Women's Half-Middleweight,1
CUB,Shooting Men's Skeet,1
CUB,"Wrestling Men's Lightweight, Freestyle",1
CUB,"Wrestling Men's Middleweight, Freestyle",1
CZE,Athletics Men's High Jump,1
CZE,Athletics Women's Discus Throw,1
CZE,Modern Pentathlon Men's Individual,2
CZE,Rowing Men's Quadruple Sculls,1
CZE,Sailing Women's One Person Dinghy,1
CZE,"Shooting Women's Air Rifle, 10 metres",2
CZE,"Shooting Women's Sporting Pistol, 25 metres",1
DEN,Athletics Men's Shot Put,1
DEN,Badminton Mixed Doubles,2
DEN,Sailing Women's One Person Dinghy,2
DEN,Sailing Women's Three Person Keelboat,1
DEN,Table Tennis Men's Doubles,1
DOM,Athletics Men's 400 metres Hurdles,2
EGY,Boxing Men's Heavyweight,1
EGY,Boxing Men's Light-Heavyweight,1
EGY,Boxing Men's Super-Heavyweight,1
EGY,Taekwondo Men's Flyweight,1
EGY,"Wrestling Men's Heavyweight, Greco-Roman",1
ERI,"Athletics Men's 10,000 metres",1
ESP,Athletics Men's 20 kilometres Walk,1
ESP,Athletics Men's Long Jump,1
ESP,Athletics Men's Shot Put,1
ESP,Beach Volleyball Men's Beach Volleyball,1
ESP,"Canoeing Men's Canadian Singles, 1,000 metres",3
ESP,"Canoeing Men's Canadian Singles, 500 metres",2
ESP,"Cycling Men's Individual Pursuit, 4,000 metres",1
ESP,Cycling Men's Keirin,1
ESP,"Cycling Men's Mountainbike, Cross-Country",2
ESP,"Cycling Men's Team Pursuit, 4,000 metres",1
ESP,"Equestrianism Mixed Dressage, Individual",1
ESP,"Equestrianism Mixed Dressage, Team",1
ESP,Gymnastics Women's Floor Exercise,1
ESP,Sailing Men's One Person Dinghy,1
ESP,Sailing Mixed Skiff,2
ESP,Sailing Women's Two Person Dinghy,1
ESP,Shooting Women's Trap,1
ESP,Tennis Women's Doubles,2
EST,Athletics Men's Discus Throw,3
EST,Rowing Men's Single Sculls,1
FIN,Shooting Men's Skeet,1
FRA,Athletics Men's 400 metres Hurdles,1
FRA,Athletics Women's 4 x 100 metres Relay,1
FRA,"Canoeing Men's Kayak Singles, Slalom",3
FRA,"Cycling Men's 1,000 metres Time Trial",1
FRA,"Equestrianism Mixed Three-Day Event, Team",2
FRA,"Fencing Men's Foil, Individual",1
FRA,"Fencing Women's epee, Team",1
FRA,Gymnastics Women's Uneven Bars,1
FRA,Judo Women's Extra-Lightweight,1
FRA,Rowing Men's Double Sculls,1
FRA,Sailing Men's Two Person Keelboat,1
FRA,Sailing Women's Windsurfer,2
FRA,Swimming Men's 100 metres Breaststroke,2
FRA,Swimming Women's 100 metres Backstroke,1
FRA,Swimming Women's 200 metres Freestyle,2
FRA,Swimming Women's 400 metres Freestyle,2
FRA,Swimming Women's 50 metres Freestyle,1
FRA,Swimming Women's 800 metres Freestyle,1
FRA,Taekwondo Women's Heavyweight,2
FRA,Tennis Women's Singles,1
FRA,"Wrestling Women's Lightweight, Freestyle",1
FRA,"Wrestling Women's Middleweight, Freestyle",1
GBR,Archery Women's Individual,1
GBR,Athletics Men's 4 x 100 metres Relay,1
GBR,"Athletics Women's 1,500 metres",1
GBR,Boxing Men's Lightweight,1
GBR,"Canoeing Men's Kayak Singles, 500 metres",2
GBR,"Canoeing Women's Kayak Singles, Slalom",1
GBR,"Cycling Men's Individual Pursuit, 4,000 metres",3
GBR,Cycling Men's Madison,1
GBR,Diving Men's Synchronized Platform,2
GBR,"Equestrianism Mixed Three-Day Event, Individual",3
GBR,Rowing Women's Coxless Pairs,3
GBR,Rowing Women's Double Sculls,4
GBR,Sailing Men's Two Person Dinghy,3
GBR,Sailing Men's Windsurfer,3
GBR,Sailing Women's Three Person Keelboat,2
GBR,"Swimming Men's 1,500 metres Freestyle",1
GBR,Swimming Men's 200 metres Butterfly,1
GEO,Judo Men's Extra-Lightweight,1
GEO,Judo Men's Middleweight,3
GEO,"Wrestling Men's Heavyweight, Greco-Roman",1
GER,Athletics Women's Javelin Throw,4
GER,Boxing Men's Featherweight,1
GER,Boxing Men's Flyweight,1
GER,"Canoeing Men's Canadian Doubles, Slalom",1
GER,"Canoeing Men's Canadian Singles, Slalom",2
GER,Cycling Men's Points Race,2
GER,Cycling Men's Team Sprint,3
GER,"Cycling Women's Mountainbike, Cross-Country",3
GER,Diving Men's Synchronized Springboard,1
GER,"Equestrianism Mixed Jumping, Individual",1
GER,"Fencing Men's epee, Team",1
GER,"Fencing Women's epee, Team",1
GER,Handball Men's Handball,2
GER,Hockey Men's Hockey,4
GER,Hockey Women's Hockey,2
GER,Judo Men's Half-Heavyweight,2
GER,Judo Women's Lightweight,1
GER,Judo Women's Middleweight,3
GER,"Shooting Men's Rapid-Fire Pistol, 25 metres",4
GER,"Shooting Men's Running Target, 10 metres",1
GER,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",2
GER,Swimming Women's 200 metres Backstroke,1
GER,Swimming Women's 200 metres Breaststroke,1
GER,Swimming Women's 4 x 100 metres Medley Relay,1
GER,Tennis Men's Doubles,1
GER,Trampolining Men's Individual,1
GER,Trampolining Women's Individual,1
GRE,Athletics Women's 20 kilometres Walk,1
GRE,Athletics Women's 400 metres Hurdles,1
GRE,Athletics Women's Triple Jump,2
GRE,Diving Men's Synchronized Springboard,1
GRE,Judo Men's Half-Middleweight,1
GRE,Rowing Men's Lightweight Double Sculls,2
GRE,Sailing Men's Windsurfer,1
GRE,Sailing Women's Two Person Dinghy,1
GRE,Taekwondo Men's Heavyweight,2
GRE,Taekwondo Women's Welterweight,1
GRE,Water Polo Women's Water Polo,1
GRE,"Wrestling Men's Featherweight, Greco-Roman",1
HKG,Table Tennis Men's Doubles,1
HUN,Athletics Men's Discus Throw,1
HUN,"Canoeing Men's Canadian Doubles, 1,000 metres",2
HUN,"Canoeing Men's Canadian Singles, 1,000 metres",2
HUN,"Canoeing Women's Kayak Singles, 500 metres",3
HUN,"Fencing Men's epee, Team",2
HUN,"Fencing Men's Sabre, Individual",3
HUN,Modern Pentathlon Women's Individual,1
HUN,Swimming Men's 200 metres Breaststroke,2
HUN,Swimming Men's 400 metres Individual Medley,2
HUN,"Wrestling Men's Featherweight, Greco-Roman",2
IND,Shooting Men's Double Trap,1
IRI,Taekwondo Men's Welterweight,2
IRI,"Wrestling Men's Heavyweight, Freestyle",1
IRI,"Wrestling Men's Lightweight, Freestyle",2
IRI,"Wrestling Men's Super-Heavyweight, Freestyle",3
ISR,Judo Men's Half-Heavyweight,1
ISR,Sailing Men's Windsurfer,2
ITA,Archery Men's Individual,1
ITA,Athletics Men's 20 kilometres Walk,1
ITA,Athletics Men's Marathon,1
ITA,Athletics Men's Pole Vault,1
ITA,Basketball Men's Basketball,1
ITA,"Cycling Men's Road Race, Individual",1
ITA,"Fencing Men's Foil, Individual",4
ITA,"Fencing Men's Sabre, Individual",2
ITA,"Fencing Men's Sabre, Team",3
ITA,Football Men's Football,1
ITA,Gymnastics Men's Horizontal Bar,1
ITA,Gymnastics Men's Rings,2
ITA,Rhythmic Gymnastics Women's Group,2
ITA,Rowing Men's Lightweight Coxless Fours,1
ITA,Shooting Men's Skeet,2
ITA,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",1
ITA,Swimming Men's 4 x 200 metres Freestyle Relay,1
ITA,Swimming Women's 200 metres Freestyle,2
ITA,Water Polo Women's Water Polo,2
JAM,Athletics Men's 400 metres Hurdles,1
JPN,Archery Men's Individual,2
JPN,Athletics Men's Hammer Throw,2
JPN,Baseball Men's Baseball,1
JPN,Cycling Men's Team Sprint,1
JPN,Gymnastics Men's Horizontal Bar,1
JPN,Gymnastics Men's Parallel Bars,1
JPN,Gymnastics Men's Pommelled Horse,1
JPN,Gymnastics Men's Team All-Around,4
JPN,Judo Men's Half-Lightweight,4
JPN,Judo Men's Middleweight,3
JPN,Judo Women's Half-Heavyweight,1
JPN,Judo Women's Half-Middleweight,3
JPN,Judo Women's Middleweight,3
JPN,Sailing Men's Two Person Dinghy,1
JPN,Swimming Men's 100 metres Backstroke,2
JPN,Swimming Men's 100 metres Breaststroke,2
JPN,Swimming Men's 200 metres Breaststroke,3
JPN,Swimming Men's 200 metres Butterfly,4
JPN,Swimming Men's 4 x 100 metres Medley Relay,3
JPN,Swimming Women's 200 metres Butterfly,3
JPN,Swimming Women's 800 metres Freestyle,1
JPN,"Wrestling Men's Featherweight, Freestyle",4
JPN,"Wrestling Men's Lightweight, Freestyle",2
JPN,"Wrestling Women's Flyweight, Freestyle",4
JPN,"Wrestling Women's Heavyweight, Freestyle",2
JPN,"Wrestling Women's Lightweight, Freestyle",4
JPN,"Wrestling Women's Middleweight, Freestyle",4
KAZ,Athletics Men's Decathlon,1
KAZ,Boxing Men's Lightweight,1
KAZ,Boxing Men's Middleweight,1
KAZ,Boxing Men's Welterweight,4
KAZ,Weightlifting Men's Middleweight,2
KAZ,"Wrestling Men's Middleweight, Freestyle",1
KAZ,"Wrestling Men's Super-Heavyweight, Greco-Roman",1
KAZ,"Wrestling Men's Welterweight, Greco-Roman",1
KEN,"Athletics Men's 5,000 metres",4
KEN,"Athletics Women's 5,000 metres",4
KOR,Badminton Men's Singles,1
KOR,Badminton Women's Doubles,3
KOR,Boxing Men's Featherweight,1
KOR,Boxing Men's Welterweight,2
KOR,Gymnastics Men's Individual All-Around,2
KOR,Handball Women's Handball,2
KOR,Judo Men's Half-Heavyweight,1
KOR,Judo Men's Lightweight,2
KOR,"Shooting Men's Free Pistol, 50 metres",5
KOR,Shooting Women's Double Trap,1
KOR,Shooting Women's Trap,1
KOR,Table Tennis Men's Singles,1
KOR,Table Tennis Women's Singles,1
KOR,Weightlifting Men's Lightweight,1
KOR,Weightlifting Women's Super-Heavyweight,2
KOR,"Wrestling Men's Light-Heavyweight, Freestyle",1
KOR,"Wrestling Men's Lightweight, Greco-Roman",1
LAT,Athletics Men's Javelin Throw,2
LAT,Gymnastics Men's Horse Vault,1
LAT,Modern Pentathlon Women's Individual,1
LAT,Weightlifting Men's Super-Heavyweight,2
LTU,Athletics Women's Heptathlon,1
LTU,Modern Pentathlon Men's Individual,3
MEX,Athletics Women's 400 metres,1
MEX,Cycling Women's Points Race,1
MEX,Taekwondo Men's Flyweight,2
MEX,Taekwondo Women's Featherweight,1
MGL,Judo Men's Extra-Lightweight,1
NED,Badminton Women's Singles,1
NED,"Cycling Men's Mountainbike, Cross-Country",1
NED,Cycling Men's Sprint,1
NED,Judo Men's Heavyweight,1
NED,Judo Women's Lightweight,2
NED,Judo Women's Middleweight,3
NED,Rowing Men's Coxed Eights,2
NED,Rowing Women's Lightweight Double Sculls,3
NED,Swimming Men's 4 x 100 metres Freestyle Relay,1
NGR,Athletics Men's 4 x 100 metres Relay,1
NOR,Athletics Men's Javelin Throw,2
NOR,"Canoeing Men's Kayak Doubles, 1,000 metres",1
NOR,"Cycling Women's Mountainbike, Cross-Country",1
NOR,Rowing Men's Single Sculls,2
NOR,Sailing Women's One Person Dinghy,1
NZL,"Canoeing Men's Kayak Singles, 1,000 metres",1
NZL,"Cycling Women's Individual Pursuit, 3,000 metres",1
NZL,Rowing Women's Double Sculls,2
NZL,Triathlon Men's Olympic Distance,3
PAR,Football Men's Football,1
POL,Athletics Women's Pole Vault,1
POL,"Fencing Women's Foil, Individual",1
