NOC,Year,Sport,Event,Host,Bronze,Gold,Silver,Country,Tier
CZE,2000,Shooting,Shooting Men's Free Pistol 50 metres,AUS,1.0,0.0,0,Czech Republic,3
CZE,2000,Shooting,Shooting Men's Skeet,AUS,0.0,0.0,1,Czech Republic,3
CZE,2000,Triathlon,Triathlon Men's Olympic Distance,AUS,1.0,0.0,0,Czech Republic,3
CZE,2004,Athletics,Athletics Men's Decathlon,GRE,0.0,1.0,0,Czech Republic,3
CZE,2004,Athletics,Athletics Men's High Jump,GRE,1.0,0.0,0,Czech Republic,3
CZE,2004,Athletics,Athletics Women's Discus Throw,GRE,1.0,0.0,0,Czech Republic,3
CZE,2004,Canoeing,Canoeing Men's Canadian Doubles Slalom,GRE,1.0,0.0,0,Czech Republic,3
CZE,2004,Modern Pentathlon,Modern Pentathlon Men's Individual,GRE,1.0,0.0,0,Czech Republic,3
CZE,2004,Rowing,Rowing Men's Quadruple Sculls,GRE,0.0,0.0,1,Czech Republic,3
CZE,2004,Sailing,Sailing Women's One Person Dinghy,GRE,0.0,0.0,1,Czech Republic,3
CZE,2004,Shooting,Shooting Women's Air Rifle 10 metres,GRE,1.0,0.0,0,Czech Republic,3
CZE,2004,Shooting,Shooting Women's Sporting Pistol 25 metres,GRE,0.0,0.0,1,Czech Republic,3
CZE,2008,Athletics,Athletics Women's Javelin Throw,CHN,0.0,1.0,0,Czech Republic,3
CZE,2008,Canoeing,Canoeing Men's Canadian Doubles Slalom,CHN,0.0,0.0,1,Czech Republic,3
CZE,2008,Rowing,Rowing Men's Single Sculls,CHN,0.0,0.0,1,Czech Republic,3
CZE,2008,Shooting,Shooting Men's Trap,CHN,0.0,1.0,0,Czech Republic,3
CZE,2008,Shooting,Shooting Women's Air Rifle 10 metres,CHN,0.0,1.0,0,Czech Republic,3
CZE,2008,Shooting,Shooting Women's Small-Bore Rifle Three Positions 50 metres,CHN,0.0,0.0,1,Czech Republic,3
CZE,2012,Athletics,Athletics Women's 400 metres Hurdles,GBR,1.0,0.0,0,Czech Republic,3
CZE,2012,Athletics,Athletics Women's Javelin Throw,GBR,0.0,1.0,0,Czech Republic,3
CZE,2012,Canoeing,Canoeing Men's Kayak Fours 1000 metres,GBR,1.0,0.0,0,Czech Republic,3
CZE,2012,Canoeing,Canoeing Men's Kayak Singles Slalom,GBR,0.0,0.0,1,Czech Republic,3
CZE,2012,Cycling,Cycling Men's Mountainbike Cross-Country,GBR,0.0,1.0,0,Czech Republic,3
CZE,2012,Modern Pentathlon,Modern Pentathlon Men's Individual,GBR,0.0,1.0,0,Czech Republic,3
CZE,2012,Rowing,Rowing Men's Single Sculls,GBR,0.0,0.0,1,Czech Republic,3
CZE,2012,Rowing,Rowing Women's Single Sculls,GBR,0.0,1.0,0,Czech Republic,3
CZE,2012,Shooting,Shooting Women's Small-Bore Rifle Three Positions 50 metres,GBR,1.0,0.0,0,Czech Republic,3
CZE,2012,Tennis,Tennis Women's Doubles,GBR,0.0,0.0,1,Czech Republic,3
CZE,2016,Athletics,Athletics Women's Javelin Throw,BRA,1.0,0.0,0,Czech Republic,3
CZE,2016,Canoeing,Canoeing Men's Kayak Fours 1000 metres,BRA,1.0,0.0,0,Czech Republic,3
CZE,2016,Canoeing,Canoeing Men's Kayak Singles 1000 metres,BRA,0.0,0.0,1,Czech Republic,3
CZE,2016,Canoeing,Canoeing Men's Kayak Singles Slalom,BRA,1.0,0.0,0,Czech Republic,3
CZE,2016,Cycling,Cycling Men's Mountainbike Cross-Country,BRA,0.0,0.0,1,Czech Republic,3
CZE,2016,Judo,Judo Men's Half-Heavyweight,BRA,0.0,1.0,0,Czech Republic,3
CZE,2016,Rowing,Rowing Men's Single Sculls,BRA,1.0,0.0,0,Czech Republic,3
CZE,2016,Tennis,Tennis Mixed Doubles,BRA,1.0,0.0,0,Czech Republic,3
CZE,2016,Tennis,Tennis Women's Doubles,BRA,1.0,0.0,0,Czech Republic,3
CZE,2016,Tennis,Tennis Women's Singles,BRA,1.0,0.0,0,Czech Republic,3
CZE,2020,Athletics,Men's Javelin Throw,JPN,1.0,0.0,1,Czech Republic,3
CZE,2020,Canoe Slalom,Men's Canoe,JPN,0.0,0.0,1,Czech Republic,3
CZE,2020,Canoe Slalom,Men's Kayak,JPN,0.0,1.0,0,Czech Republic,3
CZE,2020,Canoe Sprint,Men's Kayak Double 1000m Team,JPN,1.0,0.0,0,Czech Republic,3
CZE,2020,Fencing,Men's Foil Individual,JPN,1.0,0.0,0,Czech Republic,3
CZE,2020,Judo,Men +100 kg,JPN,0.0,1.0,0,Czech Republic,3
CZE,2020,Shooting,Trap Men,JPN,0.0,1.0,1,Czech Republic,3
CZE,2020,Tennis,Women's Doubles Team,JPN,0.0,1.0,0,Czech Republic,3
CZE,2020,Tennis,Women's Singles,JPN,0.0,0.0,1,Czech Republic,3
CZE,2024,Athletics,Women's Javelin Throw,FRA,1.0,0.0,0,Czech Republic,3
CZE,2024,Canoe Sprint,Men's Canoe Single 1000m,FRA,0.0,1.0,0,Czech Republic,3
CZE,2024,Canoe Sprint,Men's Kayak Single 1000m,FRA,0.0,1.0,0,Czech Republic,3
CZE,2024,Fencing,Men's 脡p茅e Team,FRA,1.0,0.0,0,Czech Republic,3
CZE,2024,Tennis,Mixed Doubles,FRA,0.0,1.0,0,Czech Republic,3
DEN,1896,Fencing,Fencing Men's Sabre Individual,GRE,1.0,0.0,0,Denmark,3
DEN,1896,Shooting,Shooting Men's Free Pistol 30 metres,GRE,0.0,0.0,1,Denmark,3
DEN,1896,Shooting,Shooting Men's Free Rifle Three Positions 300 metres,GRE,1.0,0.0,0,Denmark,3
DEN,1896,Shooting,Shooting Men's Muzzle-Loading Pistol 25 metres,GRE,1.0,0.0,0,Denmark,3
DEN,1896,Weightlifting,Weightlifting Men's Unlimited One Hand,GRE,0.0,0.0,1,Denmark,3
DEN,1896,Weightlifting,Weightlifting Men's Unlimited Two Hands,GRE,0.0,1.0,0,Denmark,3
DEN,1900,Athletics,Athletics Men's 400 metres,FRA,1.0,0.0,0,Denmark,3
DEN,1900,Shooting,Shooting Men's Free Rifle Kneeling 300 metres,FRA,0.0,0.0,1,Denmark,3
DEN,1900,Shooting,Shooting Men's Free Rifle Prone 300 metres,FRA,0.0,0.0,1,Denmark,3
DEN,1900,Shooting,Shooting Men's Free Rifle Standing 300 metres,FRA,0.0,1.0,0,Denmark,3
DEN,1900,Shooting,Shooting Men's Free Rifle Three Positions 300 metres,FRA,0.0,0.0,1,Denmark,3
DEN,1900,Swimming,Swimming Men's Underwater Swimming,FRA,1.0,0.0,0,Denmark,3
DEN,1900,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,FRA,0.0,1.0,0,Denmark,3
DEN,1906,Football,Football Men's Football,,0.0,1.0,0,Denmark,3
DEN,1906,Gymnastics,Gymnastics Men's Team All-Around,,0.0,0.0,1,Denmark,3
DEN,1906,Wrestling,Wrestling Men's All-Around Greco-Roman,,0.0,1.0,0,Denmark,3
DEN,1906,Wrestling,Wrestling Men's Heavyweight Greco-Roman,,0.0,1.0,0,Denmark,3
DEN,1906,Wrestling,Wrestling Men's Lightweight Greco-Roman,,0.0,0.0,1,Denmark,3
DEN,1906,Wrestling,Wrestling Men's Middleweight Greco-Roman,,1.0,0.0,0,Denmark,3
DEN,1908,Football,Football Men's Football,GBR,0.0,0.0,1,Denmark,3
DEN,1908,Swimming,Swimming Men's 100 metres Backstroke,GBR,0.0,0.0,1,Denmark,3
DEN,1908,Wrestling,Wrestling Men's Heavyweight Greco-Roman,GBR,1.0,0.0,0,Denmark,3
DEN,1908,Wrestling,Wrestling Men's Light-Heavyweight Greco-Roman,GBR,1.0,0.0,0,Denmark,3
DEN,1908,Wrestling,Wrestling Men's Middleweight Greco-Roman,GBR,1.0,0.0,0,Denmark,3
DEN,1912,Fencing,Fencing Men's epee Individual,SWE,0.0,0.0,1,Denmark,3
DEN,1912,Football,Football Men's Football,SWE,0.0,0.0,1,Denmark,3
DEN,1912,Gymnastics,Gymnastics Men's Team All-Around Free System,SWE,1.0,0.0,0,Denmark,3
DEN,1912,Gymnastics,Gymnastics Men's Team All-Around Swedish System,SWE,0.0,0.0,1,Denmark,3
DEN,1912,Rowing,Rowing Men's Coxed Fours Inriggers,SWE,0.0,1.0,0,Denmark,3
DEN,1912,Rowing,Rowing Men's Coxed Fours Outriggers,SWE,1.0,0.0,0,Denmark,3
DEN,1912,Sailing,Sailing Mixed 6 metres,SWE,0.0,0.0,1,Denmark,3
DEN,1912,Shooting,Shooting Men's Free Rifle Three Positions 300 metres,SWE,1.0,0.0,1,Denmark,3
DEN,1912,Shooting,Shooting Men's Free Rifle Three Positions 300 metres Team,SWE,1.0,0.0,0,Denmark,3
DEN,1912,Tennis,Tennis Women's Singles Covered Courts,SWE,0.0,0.0,1,Denmark,3
DEN,1912,Wrestling,Wrestling Men's Heavyweight Greco-Roman,SWE,1.0,0.0,0,Denmark,3
DEN,1920,Athletics,Athletics Men's Pole Vault,BEL,0.0,0.0,1,Denmark,3
DEN,1920,Boxing,Boxing Men's Flyweight,BEL,0.0,0.0,1,Denmark,3
DEN,1920,Boxing,Boxing Men's Heavyweight,BEL,0.0,0.0,1,Denmark,3
DEN,1920,Boxing,Boxing Men's Lightweight,BEL,0.0,0.0,1,Denmark,3
DEN,1920,Diving,Diving Women's Plain High,BEL,0.0,1.0,0,Denmark,3
DEN,1920,Gymnastics,Gymnastics Men's Team All-Around Free System,BEL,0.0,1.0,0,Denmark,3
DEN,1920,Gymnastics,Gymnastics Men's Team All-Around Swedish System,BEL,0.0,0.0,1,Denmark,3
DEN,1920,Hockey,Hockey Men's Hockey,BEL,0.0,0.0,1,Denmark,3
DEN,1920,Shooting,Shooting Men's Free Rifle Three Positions 300 metres,BEL,0.0,0.0,1,Denmark,3
DEN,1920,Shooting,Shooting Men's Military Rifle Standing 300 metres,BEL,0.0,0.0,1,Denmark,3
DEN,1920,Shooting,Shooting Men's Military Rifle Standing 300 metres Team,BEL,0.0,1.0,0,Denmark,3
DEN,1920,Wrestling,Wrestling Men's Heavyweight Greco-Roman,BEL,0.0,0.0,1,Denmark,3
DEN,1920,Wrestling,Wrestling Men's Light-Heavyweight Greco-Roman,BEL,1.0,0.0,0,Denmark,3
DEN,1924,Art Competitions,Art Competitions Mixed Literature,FRA,0.0,0.0,1,Denmark,3
DEN,1924,Art Competitions,Art Competitions Mixed Sculpturing,FRA,1.0,0.0,0,Denmark,3
DEN,1924,Boxing,Boxing Men's Heavyweight,FRA,0.0,0.0,1,Denmark,3
DEN,1924,Boxing,Boxing Men's Light-Heavyweight,FRA,0.0,0.0,1,Denmark,3
DEN,1924,Boxing,Boxing Men's Lightweight,FRA,0.0,1.0,0,Denmark,3
DEN,1924,Cycling,Cycling Men's Tandem Sprint 2000 metres,FRA,0.0,0.0,1,Denmark,3
DEN,1924,Equestrianism,Equestrianism Men's Three-Day Event Individual,FRA,0.0,0.0,1,Denmark,3
DEN,1924,Fencing,Fencing Women's Foil Individual,FRA,1.0,1.0,0,Denmark,3
DEN,1924,Sailing,Sailing Mixed 6 metres,FRA,0.0,0.0,1,Denmark,3
DEN,1924,Shooting,Shooting Men's Free Rifle Prone 600 metres,FRA,1.0,0.0,0,Denmark,3
DEN,1928,Art Competitions,Art Competitions Mixed Architecture Architectural Designs,NED,0.0,0.0,1,Denmark,3
DEN,1928,Art Competitions,Art Competitions Mixed Literature Lyric Works,NED,1.0,0.0,0,Denmark,3
DEN,1928,Art Competitions,Art Competitions Mixed Music Compositions For Orchestra,NED,1.0,0.0,0,Denmark,3
DEN,1928,Boxing,Boxing Men's Heavyweight,NED,1.0,0.0,0,Denmark,3
DEN,1928,Cycling,Cycling Men's 1000 metres Time Trial,NED,0.0,1.0,0,Denmark,3
DEN,1928,Cycling,Cycling Men's Road Race Individual,NED,0.0,1.0,0,Denmark,3
DEN,1928,Cycling,Cycling Men's Road Race Team,NED,0.0,1.0,0,Denmark,3
DEN,1928,Cycling,Cycling Men's Sprint,NED,1.0,0.0,0,Denmark,3
DEN,1928,Sailing,Sailing Mixed 6 metres,NED,0.0,0.0,1,Denmark,3
DEN,1932,Art Competitions,Art Competitions Mixed Architecture Designs For Town Planning,USA,0.0,0.0,1,Denmark,3
DEN,1932,Art Competitions,Art Competitions Mixed Literature,USA,0.0,0.0,1,Denmark,3
DEN,1932,Boxing,Boxing Men's Light-Heavyweight,USA,1.0,0.0,0,Denmark,3
DEN,1932,Cycling,Cycling Men's Road Race Team,USA,0.0,0.0,1,Denmark,3
DEN,1932,Cycling,Cycling Men's Tandem Sprint 2000 metres,USA,1.0,0.0,0,Denmark,3
DEN,1932,Swimming,Swimming Women's 200 metres Breaststroke,USA,1.0,0.0,0,Denmark,3
DEN,1932,Weightlifting,Weightlifting Men's Light-Heavyweight,USA,0.0,0.0,1,Denmark,3
DEN,1932,Wrestling,Wrestling Men's Lightweight Greco-Roman,USA,0.0,0.0,1,Denmark,3
DEN,1936,Boxing,Boxing Men's Welterweight,GER,1.0,0.0,0,Denmark,3
DEN,1936,Equestrianism,Equestrianism Men's Three-Day Event Individual,GER,1.0,0.0,0,Denmark,3
DEN,1936,Rowing,Rowing Men's Coxless Pairs,GER,0.0,0.0,1,Denmark,3
DEN,1936,Swimming,Swimming Women's 200 metres Breaststroke,GER,1.0,0.0,0,Denmark,3
DEN,1936,Swimming,Swimming Women's 400 metres Freestyle,GER,0.0,0.0,1,Denmark,3
DEN,1948,Art Competitions,Art Competitions Mixed Literature Epic Works,GBR,0.0,0.0,1,Denmark,3
DEN,1948,Art Competitions,Art Competitions Mixed Music Compositions For Orchestra,GBR,1.0,0.0,0,Denmark,3
DEN,1948,Athletics,Athletics Women's Javelin Throw,GBR,1.0,0.0,0,Denmark,3
DEN,1948,Boxing,Boxing Men's Lightweight,GBR,1.0,0.0,0,Denmark,3
DEN,1948,Canoeing,Canoeing Men's Kayak Doubles 1000 metres,GBR,0.0,0.0,1,Denmark,3
DEN,1948,Canoeing,Canoeing Men's Kayak Singles 1000 metres,GBR,0.0,0.0,1,Denmark,3
DEN,1948,Canoeing,Canoeing Women's Kayak Singles 500 metres,GBR,0.0,1.0,0,Denmark,3
DEN,1948,Cycling,Cycling Men's Sprint,GBR,1.0,0.0,0,Denmark,3
DEN,1948,Diving,Diving Women's Platform,GBR,1.0,0.0,0,Denmark,3
DEN,1948,Fencing,Fencing Women's Foil Individual,GBR,0.0,0.0,1,Denmark,3
DEN,1948,Football,Football Men's Football,GBR,1.0,0.0,0,Denmark,3
DEN,1948,Rowing,Rowing Men's Coxed Fours,GBR,1.0,0.0,0,Denmark,3
DEN,1948,Rowing,Rowing Men's Coxed Pairs,GBR,0.0,1.0,0,Denmark,3
DEN,1948,Rowing,Rowing Men's Coxless Fours,GBR,0.0,0.0,1,Denmark,3
DEN,1948,Rowing,Rowing Men's Double Sculls,GBR,0.0,0.0,1,Denmark,3
DEN,1948,Sailing,Sailing Mixed One Person Dinghy,GBR,0.0,1.0,0,Denmark,3
DEN,1948,Sailing,Sailing Mixed Three Person Keelboat,GBR,1.0,0.0,0,Denmark,3
DEN,1948,Swimming,Swimming Women's 100 metres Backstroke,GBR,0.0,1.0,0,Denmark,3
DEN,1948,Swimming,Swimming Women's 100 metres Freestyle,GBR,0.0,1.0,0,Denmark,3
DEN,1948,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,GBR,0.0,0.0,1,Denmark,3
DEN,1948,Swimming,Swimming Women's 400 metres Freestyle,GBR,0.0,0.0,1,Denmark,3
DEN,1948,Wrestling,Wrestling Men's Welterweight Greco-Roman,GBR,1.0,0.0,0,Denmark,3
DEN,1952,Boxing,Boxing Men's Welterweight,FIN,1.0,0.0,0,Denmark,3
DEN,1952,Canoeing,Canoeing Men's Canadian Doubles 1000 metres,FIN,0.0,1.0,0,Denmark,3
DEN,1952,Equestrianism,Equestrianism Mixed Dressage Individual,FIN,0.0,0.0,1,Denmark,3
DEN,1952,Fencing,Fencing Women's Foil Individual,FIN,1.0,0.0,0,Denmark,3
DEN,1952,Rowing,Rowing Men's Coxed Pairs,FIN,1.0,0.0,0,Denmark,3
DEN,1952,Sailing,Sailing Mixed One Person Dinghy,FIN,0.0,1.0,0,Denmark,3
DEN,1956,Canoeing,Canoeing Women's Kayak Singles 500 metres,AUS,1.0,0.0,0,Denmark,3
DEN,1956,Equestrianism,Equestrianism Mixed Dressage Individual,AUS,0.0,0.0,1,Denmark,3
DEN,1956,Sailing,Sailing Mixed One Person Dinghy,AUS,0.0,1.0,0,Denmark,3
DEN,1956,Sailing,Sailing Mixed Three Person Keelboat,AUS,0.0,0.0,1,Denmark,3
DEN,1960,Canoeing,Canoeing Men's Kayak Relay 4 x 500 metres,ITA,1.0,0.0,0,Denmark,3
DEN,1960,Canoeing,Canoeing Men's Kayak Singles 1000 metres,ITA,0.0,1.0,0,Denmark,3
DEN,1960,Football,Football Men's Football,ITA,0.0,0.0,1,Denmark,3
DEN,1960,Sailing,Sailing Mixed 5.5 metres,ITA,0.0,0.0,1,Denmark,3
DEN,1960,Sailing,Sailing Mixed One Person Dinghy,ITA,0.0,1.0,0,Denmark,3
DEN,1960,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,ITA,0.0,0.0,1,Denmark,3
DEN,1964,Canoeing,Canoeing Men's Canadian Doubles 1000 metres,JPN,1.0,0.0,0,Denmark,3
DEN,1964,Cycling,Cycling Men's Individual Pursuit 4000 metres,JPN,1.0,0.0,0,Denmark,3
DEN,1964,Cycling,Cycling Men's Road Race Individual,JPN,0.0,0.0,1,Denmark,3
DEN,1964,Rowing,Rowing Men's Coxless Fours,JPN,0.0,1.0,0,Denmark,3
DEN,1964,Sailing,Sailing Mixed One Person Dinghy,JPN,1.0,0.0,0,Denmark,3
DEN,1964,Sailing,Sailing Mixed Three Person Keelboat,JPN,0.0,1.0,0,Denmark,3
DEN,1968,Canoeing,Canoeing Men's Kayak Singles 1000 metres,MEX,1.0,0.0,0,Denmark,3
DEN,1968,Cycling,Cycling Men's 1000 metres Time Trial,MEX,0.0,0.0,1,Denmark,3
DEN,1968,Cycling,Cycling Men's Individual Pursuit 4000 metres,MEX,0.0,0.0,1,Denmark,3
DEN,1968,Cycling,Cycling Men's Road Race Individual,MEX,0.0,0.0,1,Denmark,3
DEN,1968,Cycling,Cycling Men's Team Pursuit 4000 metres,MEX,0.0,1.0,0,Denmark,3
DEN,1968,Rowing,Rowing Men's Coxed Pairs,MEX,1.0,0.0,0,Denmark,3
DEN,1968,Rowing,Rowing Men's Coxless Pairs,MEX,1.0,0.0,0,Denmark,3
DEN,1968,Sailing,Sailing Mixed Three Person Keelboat,MEX,0.0,0.0,1,Denmark,3
DEN,1972,Cycling,Cycling Men's 1000 metres Time Trial,FRG,0.0,1.0,0,Denmark,3
DEN,1976,Cycling,Cycling Men's 1000 metres Time Trial,CAN,1.0,0.0,0,Denmark,3
DEN,1976,Cycling,Cycling Men's 100 kilometres Team Time Trial,CAN,1.0,0.0,0,Denmark,3
DEN,1976,Sailing,Sailing Mixed Three Person Keelboat,CAN,0.0,1.0,0,Denmark,3
DEN,1980,Cycling,Cycling Men's Individual Pursuit 4000 metres,URS,1.0,0.0,0,Denmark,3
DEN,1980,Sailing,Sailing Mixed Multihull,URS,0.0,0.0,1,Denmark,3
DEN,1980,Sailing,Sailing Mixed Three Person Keelboat,URS,0.0,1.0,0,Denmark,3
DEN,1980,Shooting,Shooting Mixed Skeet,URS,0.0,1.0,0,Denmark,3
DEN,1980,Swimming,Swimming Women's 100 metres Breaststroke,URS,1.0,0.0,0,Denmark,3
DEN,1984,Canoeing,Canoeing Men's Canadian Singles 1000 metres,USA,1.0,0.0,0,Denmark,3
DEN,1984,Canoeing,Canoeing Men's Canadian Singles 500 metres,USA,0.0,0.0,1,Denmark,3
DEN,1984,Equestrianism,Equestrianism Mixed Dressage Individual,USA,0.0,0.0,1,Denmark,3
DEN,1984,Rowing,Rowing Men's Coxless Fours,USA,1.0,0.0,0,Denmark,3
DEN,1984,Rowing,Rowing Women's Coxed Quadruple Sculls,USA,1.0,0.0,0,Denmark,3
DEN,1984,Shooting,Shooting Mixed Skeet,USA,0.0,0.0,1,Denmark,3
DEN,1988,Cycling,Cycling Men's Points Race,KOR,0.0,1.0,0,Denmark,3
DEN,1988,Sailing,Sailing Mixed Three Person Keelboat,KOR,1.0,0.0,0,Denmark,3
DEN,1988,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,KOR,0.0,1.0,0,Denmark,3
DEN,1988,Swimming,Swimming Men's 200 metres Butterfly,KOR,0.0,0.0,1,Denmark,3
DEN,1992,Badminton,Badminton Men's Singles,ESP,1.0,0.0,0,Denmark,3
DEN,1992,Boxing,Boxing Men's Super-Heavyweight,ESP,1.0,0.0,0,Denmark,3
DEN,1992,Canoeing,Canoeing Men's Canadian Doubles 1000 metres,ESP,0.0,0.0,1,Denmark,3
DEN,1992,Cycling,Cycling Men's Team Pursuit 4000 metres,ESP,1.0,0.0,0,Denmark,3
DEN,1992,Sailing,Sailing Mixed Three Person Keelboat,ESP,0.0,1.0,0,Denmark,3
DEN,1992,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,ESP,1.0,0.0,0,Denmark,3
DEN,1996,Badminton,Badminton Men's Singles,USA,0.0,1.0,0,Denmark,3
DEN,1996,Cycling,Cycling Men's Road Race Individual,USA,0.0,0.0,1,Denmark,3
DEN,1996,Handball,Handball Women's Handball,USA,0.0,1.0,0,Denmark,3
DEN,1996,Rowing,Rowing Men's Lightweight Coxless Fours,USA,0.0,1.0,0,Denmark,3
DEN,1996,Rowing,Rowing Women's Single Sculls,USA,1.0,0.0,0,Denmark,3
DEN,1996,Sailing,Sailing Women's One Person Dinghy,USA,0.0,1.0,0,Denmark,3
DEN,2000,Athletics,Athletics Men's 800 metres,AUS,0.0,0.0,1,Denmark,3
DEN,2000,Badminton,Badminton Women's Singles,AUS,0.0,0.0,1,Denmark,3
DEN,2000,Handball,Handball Women's Handball,AUS,0.0,1.0,0,Denmark,3
DEN,2000,Rowing,Rowing Men's Lightweight Coxless Fours,AUS,1.0,0.0,0,Denmark,3
DEN,2000,Sailing,Sailing Mixed Three Person Keelboat,AUS,0.0,1.0,0,Denmark,3
DEN,2000,Shooting,Shooting Men's Small-Bore Rifle Prone 50 metres,AUS,0.0,0.0,1,Denmark,3
DEN,2004,Athletics,Athletics Men's 800 metres,GRE,1.0,0.0,0,Denmark,3
DEN,2004,Athletics,Athletics Men's Shot Put,GRE,0.0,0.0,1,Denmark,3
DEN,2004,Badminton,Badminton Mixed Doubles,GRE,1.0,0.0,0,Denmark,3
DEN,2004,Handball,Handball Women's Handball,GRE,0.0,1.0,0,Denmark,3
DEN,2004,Rowing,Rowing Men's Lightweight Coxless Fours,GRE,0.0,1.0,0,Denmark,3
DEN,2004,Sailing,Sailing Women's One Person Dinghy,GRE,1.0,0.0,0,Denmark,3
DEN,2004,Sailing,Sailing Women's Three Person Keelboat,GRE,1.0,0.0,0,Denmark,3
DEN,2004,Table Tennis,Table Tennis Men's Doubles,GRE,1.0,0.0,0,Denmark,3
DEN,2008,Canoeing,Canoeing Men's Kayak Doubles 1000 metres,CHN,0.0,0.0,1,Denmark,3
DEN,2008,Cycling,Cycling Men's Team Pursuit 4000 metres,CHN,0.0,0.0,1,Denmark,3
DEN,2008,Equestrianism,Equestrianism Mixed Dressage Team,CHN,1.0,0.0,0,Denmark,3
DEN,2008,Rowing,Rowing Men's Lightweight Coxless Fours,CHN,0.0,1.0,0,Denmark,3
DEN,2008,Rowing,Rowing Men's Lightweight Double Sculls,CHN,1.0,0.0,0,Denmark,3
DEN,2008,Sailing,Sailing Mixed Skiff,CHN,0.0,1.0,0,Denmark,3
DEN,2008,Swimming,Swimming Women's 800 metres Freestyle,CHN,1.0,0.0,0,Denmark,3
DEN,2012,Badminton,Badminton Men's Doubles,GBR,0.0,0.0,1,Denmark,3
DEN,2012,Badminton,Badminton Mixed Doubles,GBR,1.0,0.0,0,Denmark,3
DEN,2012,Cycling,Cycling Men's Omnium,GBR,0.0,1.0,0,Denmark,3
DEN,2012,Rowing,Rowing Men's Lightweight Coxless Fours,GBR,1.0,0.0,0,Denmark,3
DEN,2012,Rowing,Rowing Men's Lightweight Double Sculls,GBR,0.0,1.0,0,Denmark,3
DEN,2012,Rowing,Rowing Women's Single Sculls,GBR,0.0,0.0,1,Denmark,3
DEN,2012,Sailing,Sailing Men's One Person Heavyweight Dinghy,GBR,0.0,0.0,1,Denmark,3
DEN,2012,Sailing,Sailing Men's Skiff,GBR,1.0,0.0,0,Denmark,3
DEN,2012,Shooting,Shooting Men's Skeet,GBR,0.0,0.0,1,Denmark,3
DEN,2016,Athletics,Athletics Women's 400 metres Hurdles,BRA,0.0,0.0,1,Denmark,3
DEN,2016,Badminton,Badminton Men's Singles,BRA,1.0,0.0,0,Denmark,3
DEN,2016,Badminton,Badminton Women's Doubles,BRA,0.0,0.0,1,Denmark,3
DEN,2016,Canoeing,Canoeing Women's Kayak Singles 500 metres,BRA,0.0,0.0,1,Denmark,3
DEN,2016,Cycling,Cycling Men's Omnium,BRA,1.0,0.0,0,Denmark,3
DEN,2016,Cycling,Cycling Men's Road Race Individual,BRA,0.0,0.0,1,Denmark,3
DEN,2016,Cycling,Cycling Men's Team Pursuit 4000 metres,BRA,1.0,0.0,0,Denmark,3
DEN,2016,Handball,Handball Men's Handball,BRA,0.0,1.0,0,Denmark,3
DEN,2016,Rowing,Rowing Men's Lightweight Coxless Fours,BRA,0.0,0.0,1,Denmark,3
DEN,2016,Rowing,Rowing Women's Coxless Pairs,BRA,1.0,0.0,0,Denmark,3
DEN,2016,Sailing,Sailing Women's One Person Dinghy,BRA,1.0,0.0,0,Denmark,3
DEN,2016,Sailing,Sailing Women's Skiff,BRA,1.0,0.0,0,Denmark,3
DEN,2016,Swimming,Swimming Women's 4 x 100 metres Medley Relay,BRA,1.0,0.0,0,Denmark,3
DEN,2016,Swimming,Swimming Women's 50 metres Freestyle,BRA,0.0,1.0,0,Denmark,3
DEN,2016,Wrestling,Wrestling Men's Middleweight Greco-Roman,BRA,0.0,0.0,1,Denmark,3
DEN,2020,Badminton,Men's Singles,JPN,0.0,1.0,0,Denmark,3
DEN,2020,Canoe Sprint,Women's Kayak Single 200m,JPN,1.0,0.0,0,Denmark,3
DEN,2020,Canoe Sprint,Women's Kayak Single 500m,JPN,1.0,0.0,0,Denmark,3
DEN,2020,Cycling Track,Men's Madison Team,JPN,0.0,1.0,0,Denmark,3
DEN,2020,Cycling Track,Men's Team Pursuit Team,JPN,0.0,0.0,1,Denmark,3
DEN,2020,Cycling Track,Women's Madison Team,JPN,0.0,0.0,1,Denmark,3
DEN,2020,Handball,Men Team,JPN,0.0,0.0,1,Denmark,3
DEN,2020,Rowing,Men's Pair Team,JPN,1.0,0.0,0,Denmark,3
DEN,2020,Sailing,Women's One Person Dinghy - Laser Radial,JPN,0.0,1.0,0,Denmark,3
DEN,2020,Shooting,Skeet Men,JPN,0.0,0.0,1,Denmark,3
DEN,2020,Swimming,Women's 50m Freestyle,JPN,1.0,0.0,0,Denmark,3
DEN,2024,Badminton,Men's Singles,FRA,0.0,1.0,0,Denmark,3
DEN,2024,Canoe Sprint,Women's Kayak Single 500m,FRA,1.0,0.0,0,Denmark,3
DEN,2024,Cycling Track,Men's Madison,FRA,1.0,0.0,0,Denmark,3
DEN,2024,Equestrian,Dressage Team,FRA,0.0,0.0,1,Denmark,3
DEN,2024,Handball,Men,FRA,0.0,1.0,0,Denmark,3
DEN,2024,Handball,Women,FRA,1.0,0.0,0,Denmark,3
DEN,2024,Sailing,Women's Dinghy,FRA,0.0,0.0,1,Denmark,3
